"flid","ord","ordflokkur","texti"
42784,"töluatviksorð","n n","atviksorð sem táknar fjölda skipta, t.d. 'einu sinni', 'tvisvar' og 'tvívegis'"
31978,"persónuháttur","n m","þeir hættir sagna sem beygjast í 1., 2. og 3. persónu (boðháttur, framsöguháttur og viðtengingarháttur)"
4405,"áskapaður","adj","meðfæddur"
12070,"flikruberg","n n","bergtegund, þétt, hálfsambrætt gjóskulag"
12759,"forsetningarliður","n m","setningarliður sem hefst á forsetningu, t.d. ""uppi á þakinu"""
37498,"skýringartenging","n f","samtengingin 'að' (við höldum að hafið sé blátt)"
10480,"fallháttur","n m","þeir hættir sagna sem beygjast í kyni, tölu og falli (lýsingarháttur nútíðar og þátíðar ásamt nafnhætti)"
12353,"flumbrugangur","n m","það að vera flumbrulegur, fljótfærni"
9306,"eftirsókn","n f","það að sækjast eftir einhverju"
10414,"fagmennska","n f","það að vinna ákveðin verk vel og af fagþekkingu, atvinnumennska"
10838,"fátækur","adj","sem býr við lítil efni, sem býr við skort"
46818,"þátíð","n f","tíð sagnar, notuð um það sem er liðið"
29277,"nafnliður","n m","setningarliður þar sem kjarninn er nafnorð"
5849,"bláfátækur","adj","mjög fátækur"
23598,"kauptún","n n","verslunarstaður, þéttbýlisstaður, þorp"
55369,"námserfiðleikar","n mpl","erfiðleikar við að tileinka sér námsefni, erfiðleikar við að læra"
25483,"landauðn","n f","það að land eða byggð leggist í eyði"
22333,"iðjuver","n n","stór verksmiðja með umfangsmikla framleiðslu"
11587,"fjáraustur","n m","óhófleg peningaeyðsla"
34220,"samanburðarsetning","n f","aukasetning sem byrjar á 'en' (""bíllinn er fljótari en hesturinn"")"
2953,"algóriþmi","n m","röð af reglum til að leysa ákveðið verkefni, reiknirit"
52888,"afabróðir","n m","bróðir afa e-s"
43441,"uppkvaðning","n f","það að kveða upp, t.d. dóm"
47152,"þjóðminjavörður","n m","forstöðumaður þjóðminjasafns og yfirmaður minjamála lands"
52889,"afasystir","n f","systir afa e-s"
2604,"aflvöðvi","n m","stór vöðvi í handlegg eða fótlegg"
21742,"hvatleiki","n m","það að vera hvatur, fljótur í fasi og hreyfingum, léttleiki"
5913,"blekaður","adj","drukkinn"
7515,"byggðastefna","n f","sú stefna að stuðlað skuli eftir megni að jafnvægi í byggð landsins"
5915,"blekbytta","n f","ílát undir blek"
13519,"fréttablað","n n","dagblað, vikublað eða slíkt sem birtir fréttir"
28357,"miðbær","n m","miðsvæði þéttbýlisstaðar, bæjar, borgar"
13341,"framvinduskýrsla","n f","greinargerð á vissu stigi um verkefni sem ekki er að fullu lokið"
27862,"mauksjóða","v","sjóða (e-ð) í mauk, sjóða (e-ð) of lengi"
24381,"kolmórauður","adj","dökkskollitaður"
13800,"frumhandrit","n n","fyrsta handrit, upprunalegt handrit að e-u verki"
30719,"orðmynd","n f","form orðs, m.a. beygingarmynd"
2583,"aflfræði","n f","grein innan eðlisfræði sem fjallar um hreyfingu og krafta"
9309,"eftirspurn","n f","það magn af vöru og þjónustu sem einstaklingar og fyrirtæki vilja kaupa "
25105,"kvikmyndahandrit","n n","handrit að kvikmynd, skrifaður texti sem notaður er þegar kvikmynd er búin til"
13929,"fræðakver","n n","kennslubók, einkum í trúarlærdómi"
43753,"utanveltubesefi","n m","sá eða sú sem ekki er í félagsskap við aðra eða er hafður útundan"
5739,"bjórvömb","n f","mikill magi (sem talinn er til kominn af bjórdrykkju)"
13095,"framburðarmynd","n f","orðmynd með tilliti til framburðar"
47176,"þjóðskjalavörður","n m","forstöðumaður þjóðskjalasafns"
26627,"líkamshluti","n m","hluti líkamans, t.d. handleggur eða höfuð"
26615,"lífæð","n f","e-ð mjög þýðingarmikið"
27315,"lærvöðvi","n m","stór vöðvi í læri"
35135,"sérgrein","n f","fag eða fræðigrein sem e-r hefur sérhæft sig í"
34410,"samlögun","n f","það þegar málhljóð samlagast öðru"
14074,"fullnaðarpróf","n n","lokapróf barnafræðslu"
4081,"áhrifsbreyting","n f","það þegar málhljóð breytist vegna áhrifa frá öðru hljóði"
34137,"sagnorð","n n","orð sem beygist í persónu, tölu og hætti og lýsir oft verknaði, t.d. ganga, horfa og breyta"
2943,"algebra","n f","ein af helstu greinum stærðfræðinnar"
15551,"gjaldfrjáls","adj","sem ekki þarf að borga, ókeypis"
52842,"græjur","n fpl","hljómflutningstæki"
43226,"ungamóðir","n f","kvenfugl með unga sína"
41574,"tildrög","n npl","það sem leiðir til e-s, aðdragandi"
18075,"hálfhljóð","n n","málhljóðin j og w"
19901,"hliðarhljóð","n n","málhljóðið l"
26962,"lokhljóð","n n","málhljóð, sumir samhljóðar, meðal annars k, d, t, b, p"
29651,"nefhljóð","n n","málhljóðin n og m"
41212,"tannbergshljóð","n n","málhljóð sem myndast við tannberg, l og n"
48452,"önghljóð","n n","málhljóð, sum mjúk hljóð eins og t.d. f, þ, ð, v"
10496,"fallvaldur","n m","orð sem stýrir falli á öðru orði (eða setningarhluta)"
10836,"fátækt","n f","skortur á fé og nauðsynjum, efnaleysi"
34381,"samkyn","n n","kyn orðs, t.d. í dönsku og norsku, annað en hvorugkyn "
39437,"stjarneðlisfræði","n f","grein innan eðlisfræði sem fjallar um himingeiminn og alheiminn"
35061,"setningafræði","n f","grein innan málfræði sem fjallar um gerð setninga og liða þeirra"
21946,"hvorugkynsorð","n n","orð sem stendur í málfræðilegu hvorugkyni, t.d. epli, barn og tré"
45793,"vinnufélagi","n m","sá eða sú sem stundar vinnu á sama stað og einhver annnar"
36050,"skapstór","adj","sem hefur mikið skap, skapmikill"
12874,"fóðring","n f","klæðning eða hlífðarlag innan á röri, borholu eða hólk"
16006,"glæpareyfari","n m","afþreyingarskáldsaga um glæpi, glæpasaga"
55893,"söluherferð","n f","skipulagðar aðgerðir til að selja vöru eða þjónustu"
39438,"stjarneðlisfræðingur","n m","sá eða sú sem er sérfræðingur í stjarneðlisfræði"
50510,"hljóðmön","n f","hár manngerður jarðvegshryggur til að verja íbúabyggð fyrir umferðarhávaða"
32870,"reður","n m","getnaðarlimur"
47482,"þríburi","n m","eitt af þremur börnum sem móðir þeirra fæðir í senn"
48224,"ættartengsl","n npl","líffræðilegur skyldleiki, frændsemi"
16831,"grunnskólapróf","n n","lokapróf 10. bekkjar grunnskóla"
9549,"einhljóði","n m","einhljóð"
45595,"viðstaddur","adj","sem er til staðar, á staðnum"
22708,"innyfli","n npl","líffæri í kviðar- og brjóstholi"
66464,"heiladauður","adj",""
42585,"tvíhljóði","n m","tvíhljóð"
42788,"töluorð","n n","orð af ákveðnum orðflokki, t.d. einn, tveir, þrír, sjö"
42777,"tökuorð","n n","orð í málinu sem fengið er úr öðru tungumáli"
10492,"fallorð","n n","orð sem beygist í föllum, einkum nafnorð, lýsingarorð og fornöfn"
5416,"beygingardæmi","n n","tafla með öllum beygingarmyndum orðs"
5418,"beygingarflokkur","n m","flokkur sem beygjanlegum orðum er skipað í eftir sameiginlegum einkennum"
39441,"stjarnfræðingur","n m","stjörnufræðingur"
48235,"ættfaðir","n m","karl sem ætt er komin út af"
48247,"ættingi","n m","sá eða sú sem er skyldur e-m,  frændi eða frænka e-s, skyldmenni"
48255,"ættkona","n f","kona af sömu ætt og e-r annar"
20012,"hljóðskipti","n npl","það þegar sérhljóð skiptast á í orðstofnum, t.d. í sagnbeygingunni  'gefa, gaf, gáfum, gefið'"
34338,"samhljóði","n m","málhljóð sem mynda ekki atkvæði, m.a. b, ð, k, s, og v"
48228,"ættbogi","n m","nokkur hópur skyldmenna, kvísl eða leggur talinn frá einum einstaklingi"
43453,"upplestur","n m","það að lesa upphátt"
18667,"heimavistarskóli","n m","skóli með herbergjum þar sem nemendur búa meðan á skólagöngu stendur"
48265,"ættliður","n m","hópur skyldfólks af sömu kynslóð"
36043,"skapmikill","adj","sem hefur mikið skap, skapstór"
31970,"persónuending","n f","beygingarending sagnorðs eftir persónu: kem, kemur, kemur, komum, komið, koma"
48259,"ættleggur","n m","hópur fólks af sömu ætt, oft talið frá tilteknum forfeðrum"
47416,"þreifari","n m","sérstakt líffæri, angi með skynfrumum"
40224,"suðvestan","adv","úr áttinni milli suðurs og vesturs"
43775,"úfur","n m","lítil tota sem hangir frá miðri aftari brún holdgóms"
54671,"næstum því","adv","ekki alveg, nærri því"
22738,"íðorðafræði","n f","fræðigrein sem fjallar um íðorð og smíði þeirra"
3632,"atvinnuleysisbætur","n fpl","bætur sem þeir sem verða atvinnulausir eiga rétt á úr atvinnuleysistryggingasjóði"
22292,"hörkutól","n n","sá eða sú sem er harður af sér, harður í horn að taka, harðjaxl"
34128,"sagnbót","n f","mynd sagnorðs sem stendur með hjálparsögninni 'hafa' og myndar núliðna eða þáliðna tíð: 'ég hef HLAUPIÐ 20 km'"
48267,"ættmenni","n n","skyldmenni, ættingi"
59560,"bókmenntaverðlaun","n npl","verðlaun fyrir bókmenntir"
13813,"frumlagsígildi","n n","frumlag sem stendur í aukafalli, t.d. 'mig vantar tvo hesta'"
10954,"ferðahugur","n m","eftirvænting eftir fyrirhuguðu ferðalagi"
48266,"ættmaður","n m","maður af sömu ætt og e-r annar"
51150,"tvíhöfði","n m","stór vöðvi í upphandlegg"
10495,"fallstjórn","n f","það fall sem fallvaldur stýrir"
12777,"forskeyti","n n","orðliður sem er settur framan á orð, t.d. tví- og and-"
45569,"viðskeyti","n n","orðliður sem er settur aftan á orð, t.d. -un og -andi"
27522,"malir","n fpl","spjaldhryggur nautgrips"
16883,"Grýla","n f","óvættur eða ófreskja í líki kerlingar (meðal annars til að hræða börn), móðir jólasveinanna"
4287,"áratugur","n m","10 ára skeið"
48268,"ættmóðir","n f","kona sem ætt er komin út af"
46822,"þátttakandi","n m","sá eða sú sem tekur þátt í e-u"
42822,"uggi","n m","sundfæri fiska"
4053,"áhersluatkvæði","n n","atkvæði orðs þar sem megináherslan er í framburði"
12083,"flím","n n","háðkveðskapur"
39693,"stórlyndur","adj","bráðlyndur, skapstór"
42515,"túli","n m","munnur"
48432,"ömmubróðir","n m","bróðir ömmu e-s"
28681,"mínúta","n f","1/60 úr klukkustund"
44539,"vantrauststillaga","n f","uppástunga um að lýsa mistrausti á e-n eða e-ð"
35632,"sjálfsnám","n n","nám sem nemandi stundar sjálfstætt án kennara"
4347,"ársfjórðungur","n m","þrír mánuðir"
42485,"tungubroddur","n m","fremsti hluti tungu"
42308,"trjóna","n f","mjór gaddur sem skagar fram úr e-u (t.d. á flugvél, fíl eða sverðfiski)"
42427,"trýni","n n","trjóna sem nasirnar eru á (einkum notað um hunda og ketti)"
42483,"tungubak","n n","efri hlið tungu"
42209,"trantur","n m","munnur"
9088,"eddukvæði","n n","fornt norrænt kvæði ort undir forngermönskum hætti sem fjallar um goð og hetjur"
37904,"smáorð","n n","yfirheiti um óbeygjanleg orð s.s. samtengingar, forsetningar og óbeygjanleg atviksorð"
43918,"úteyra","n n","sjáanlegur hluti eyrans, ytra eyra"
43141,"undirhaka","n f","húðfelling neðan á hökunni"
57004,"úlfaldalest","n f","röð úlfalda sem bera farm eða fólk milli staða"
4267,"ár","n n","365 daga tímaskeið"
42583,"tvíhliða","adj","sem tveir eiga aðild að"
9114,"eðlisfræði","n f","fræðigrein sem fjallar um samhengi efnis, orku, tíma og rúms"
13113,"framfarahugur","n m","eftirvænting og umhugsun um umbætur"
24390,"kolsvartur","adj","sem er alveg svartur"
10091,"endurgjaldslaus","adj","sem þarf ekki að greiða gjald af eða greiða fyrir"
41216,"tanngarður","n m","upphækkun í munni sem tennurnar sitja í, röð tanna í munninum"
41667,"tilli","n m","tittlingur, typpi"
43471,"uppljóstrun","n f","það að koma upp um e-ð, afhjúpun "
41166,"talfæri","n n","líffæri í munni og hálsi sem málhljóð eru mynduð með"
41310,"táberg","n n","bunga neðan á fæti, næst aftan við tærnar"
41242,"tannstæði","n n","staður á tannbeini þar sem tönnin situr"
17143,"gýgur","n f","tröllkona, skessa"
41211,"tannberg","n n","stallur fyrir aftan framtennur í efri góm"
41237,"tannrót","n f","sá hluti tannar sem liggur í beininu"
44444,"vandlæting","n f","það að mislíka e-ð, vanþóknun"
36947,"skólakerfi","n n","uppbygging menntunar og skóla í þjóðfélagi"
12613,"formbylting","n f","gagnger, róttæk breyting á framsetningu bundins máls"
17824,"harðmæli","n n","það þegar lokhljóð eru borin fram fráblásin á eftir löngu sérhljóði (api með P en ekki B, vaka með K en ekki G)"
50889,"linmæli","n n","það þegar lokhljóð eru borin fram ófráblásin á eftir löngu sérhljóði (api með B en ekki P, vaka með G en ekki K)"
27913,"málaætt","n f","ætt tungumála, t.d. slavnesk mál, germönsk mál"
12138,"flokksmaður","n m","sá eða sú sem tilheyrir stjórnmálaflokki, skráður félagi í stjórnmálaflokki"
41225,"tannkróna","n f","sá hluti tannar sem stendur út úr tannholdi"
17322,"hafmey","n f","kvenvera sem lifir í sjó (stúlka að ofan en fiskur að neðan)"
47073,"þjó","n n","afturendi, rass"
29351,"nauð","n n","þrábeiðni, suð, nudd"
48490,"öreindafræði","n f","grein innan eðlisfræði sem fjallar um eiginleika og víxlverkun efnis og geislunar"
30675,"orðaforði","n m","safn orða sem tungumál hefur að geyma"
25185,"kyndeyfð","n f","lítil löngun til kynlífs"
13306,"framsækni","n f","það að vera framsækinn"
36954,"skólanemi","n m","nemandi í skóla, einkum grunnskóla"
34218,"samanburðarmálfræði","n f","grein innan málfræði sem fjallar um skyldleika tungumála"
43701,"utanaðkomandi","adj","sem kemur utan frá, sem tilheyrir ekki til þeim hóp sem um ræðir"
13168,"framheili","n m","hluti heila, ennisblað"
17842,"harðsperrur","n fpl","stirðleiki og verkir í vöðvum af völdum ofreynslu"
40744,"svíri","n m","háls (aftanverður)"
8497,"draummaður","n m","maður sem vitrast e-m í draumi, stundum til leiðbeiningar dreymandanum"
30673,"orðaður","adj","sem minnst er á, nefndur í e-u samhengi"
16828,"grunnmynd","n f","uppdráttur að fleti húss o.fl."
41219,"tannhold","n n","holdið milli tanna og utan um þær"
34019,"röddun","n f","það þegar málhljóð er raddað"
19965,"hljóðfræði","n f","grein innan málfræði sem fjallar um málhljóð"
30728,"orðsifjafræði","n f","fræðigrein sem fjallar um skyldleika og uppruna tungumála"
45619,"viðurlag","n n","laustengdur ákvæðisliður á eftir nafnorði (lýsingarorði) og sambeygist því "
27916,"málbeiting","n f","það hvernig tungumál er notað í tali og riti, málnotkun"
35686,"sjávarpláss","n n","lítill þéttbýlisstaður við sjávarsíðuna þar sem einkum er stunduð útgerð"
39265,"stertur","n m","stutt tagl á hesti"
40738,"svínsburst","n f","hárkambur á svínshrygg"
39380,"stirtla","n f","sporðstykki á fiski"
5419,"beygingarfræði","n f","grein málfræði sem fjallar um beygingar orða "
30729,"orðsifjar","n fpl","uppruni og skyldleiki orða"
27945,"mállýti","n n","galli á framburði eða tungutaki, málvilla"
30699,"orðflokkagreining","n f","greining orða í orðflokka"
46873,"þekkingarleysi","n n","skortur á þekkingu"
26626,"líkamshiti","n m","hiti í líkama"
19993,"hljóðlíking","n f","það þegar orð líkir eftir hljóði annars orðs"
30738,"orðtak","n n","fast orðasamband þar sem aðalorðið (orðin) eru í yfirfærðri merkingu"
24645,"kringing","n f","það þegar málhljóð er myndað með kringdum vörum, O, U, Ú og Ö í íslensku"
30737,"orðstöðulykill","n m","stafrófsraðaður listi yfir öll orð í tilteknum texta "
30686,"orðaröð","n f","röð orða í setningu"
21411,"huldukona","n f","ósýnileg kvenkyns mannvera sem býr í hól eða kletti"
38690,"spillast","v","skemmast"
14660,"gagnaðili","n m","annar af tveimur aðilum máls"
27958,"málnotkun","n f","það hvernig tungumálið er notað, munnlega eða skriflega"
13740,"fróðleiksfýsn","n f","áköf löngun til að afla sér þekkingar"
30732,"orðskviður","n m","málsháttur, spakmæli"
4905,"barnabætur","n fpl","greiðslur til foreldra sem hafa barn á framfæri sínu"
64917,"velferðarþjónusta","n f","þjónusta, t.d. sveitarfélags, við fatlaða, aldraða og fleiri hópa"
54356,"jójó","n n","leikfang í bandi sem rennur upp og niður"
34096,"safnheiti","n n","orð sem haft er um magn af e-u sem ekki er alltaf hægt að telja, t.d. sandur, sykur og fólk"
37873,"smábær","n m","lítill þéttbýlisstaður, kauptún, þorp"
19952,"hljóðbreyting","n f","það þegar málhljóð tekur breytingum (á löngum tíma), m.a. hljóðvarp"
